                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3343,                 3.0809,                0.58026,                    nan,                0.31992,                0.09147,                0.03193,                    nan,                    nan,                    nan,             0.00036848,             0.00036848,             0.00036848
                      2,                0.88889,                0.83627,                0.30592,                    nan,                 0.2771,                0.09891,                0.03517,                    nan,                    nan,                    nan,              0.0007315,              0.0007315,              0.0007315
                      3,                0.85825,                 0.7873,                0.28814,                    nan,                0.57213,                0.29753,                0.10221,                    nan,                    nan,                    nan,              0.0010872,              0.0010872,              0.0010872
                      4,                 0.8226,                0.79586,                0.27211,                0.52163,                0.47146,                0.43714,                0.17448,                 0.7109,                 0.8084,                0.23394,               0.001078,               0.001078,               0.001078
                      5,                0.78121,                0.74841,                0.25302,                0.63221,                0.57828,                0.58429,                0.23563,                0.70736,                0.74181,                0.22694,               0.001067,               0.001067,               0.001067
                      6,                0.75454,                0.73235,                0.24368,                0.70196,                0.61814,                0.64732,                0.26298,                 0.7053,                0.64075,                0.23322,               0.001056,               0.001056,               0.001056
                      7,                0.74701,                0.68369,                0.23692,                0.74644,                0.67365,                0.71435,                0.31595,                0.63671,                0.65262,                 0.2054,               0.001045,               0.001045,               0.001045
                      8,                0.72863,                0.68526,                0.23271,                0.76072,                0.64595,                0.69097,                0.28896,                0.65152,                0.65839,                0.21299,               0.001034,               0.001034,               0.001034
                      9,                0.71018,                0.69035,                0.22776,                0.76155,                0.69439,                0.74975,                0.32524,                0.62649,                0.64708,                0.20024,               0.001023,               0.001023,               0.001023
                     10,                0.69366,                0.69297,                0.21901,                0.76039,                0.66808,                0.71528,                 0.3145,                0.64295,                0.65001,                0.20094,               0.001012,               0.001012,               0.001012
                     11,                0.70698,                0.66047,                 0.2178,                0.78296,                0.74169,                0.79368,                0.35956,                0.62083,                0.62863,                0.19934,               0.001001,               0.001001,               0.001001
                     12,                0.66442,                0.63312,                0.20298,                0.76206,                 0.7317,                 0.7694,                0.35328,                0.63872,                0.63618,                0.20071,             0.00099001,             0.00099001,             0.00099001
                     13,                0.67367,                0.63533,                0.20485,                 0.8215,                0.74964,                0.81449,                0.37608,                0.61498,                0.62465,                0.19555,             0.00097901,             0.00097901,             0.00097901
                     14,                0.65918,                0.62658,                0.20177,                0.80074,                0.75937,                0.82462,                0.38177,                0.60963,                0.62186,                0.18888,             0.00096801,             0.00096801,             0.00096801
                     15,                0.65183,                0.61472,                0.19527,                0.82614,                0.75659,                0.80337,                0.37465,                0.61349,                0.60012,                0.19195,             0.00095702,             0.00095702,             0.00095702
                     16,                0.65386,                0.61113,                0.19905,                0.82039,                0.75583,                 0.8076,                0.37929,                0.61194,                0.58607,                0.18842,             0.00094602,             0.00094602,             0.00094602
                     17,                0.63902,                0.61728,                 0.1921,                0.81553,                 0.7985,                0.82734,                0.38912,                0.61199,                0.58875,                0.18864,             0.00093502,             0.00093502,             0.00093502
