                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3798,                  2.971,                 1.9754,                 2.2995,                 3.9769,                 1.7562,                0.17108,                0.22186,                0.12838,                0.04447,                 2.3005,                 4.1241,                 1.9911,                 2.2771,                 4.9374,                 1.8379,             0.00036848,             0.00036848,             0.00036848
                      2,                 2.3491,                 2.5082,                 1.9453,                 2.3318,                 2.9714,                 1.7842,                0.28977,                 0.2758,                0.17961,                0.05909,                  2.458,                 4.2789,                 2.1549,                  2.496,                 4.1036,                 2.0387,              0.0007315,              0.0007315,              0.0007315
                      3,                 2.3077,                 2.4144,                 1.9346,                 2.2609,                  2.914,                 1.7553,                 0.4625,                0.21699,                0.19688,                0.06064,                 2.3976,                 3.5288,                 2.0641,                 2.4204,                 3.9276,                 1.9873,              0.0010872,              0.0010872,              0.0010872
                      4,                 2.2875,                 2.3097,                 1.9019,                 2.2635,                 2.7565,                 1.7355,                0.34635,                0.30443,                0.24462,                 0.0866,                 2.3537,                 2.5385,                 2.0481,                 2.4285,                 2.8644,                 1.9583,               0.001078,               0.001078,               0.001078
                      5,                 2.2241,                 2.1749,                 1.8558,                 2.2124,                 2.6465,                  1.713,                0.41145,                0.32044,                0.29691,                0.10474,                  2.206,                 2.4707,                 1.8887,                 2.2027,                 2.8569,                 1.7887,               0.001078,               0.001078,               0.001078
                      6,                  2.133,                 2.0617,                 1.8127,                 2.1715,                 2.4859,                    1.7,                 0.4785,                0.40725,                0.39021,                 0.1499,                 2.1734,                 2.1918,                 1.8489,                 2.2044,                 2.5164,                 1.7798,               0.001067,               0.001067,               0.001067
                      7,                 2.0952,                 1.9914,                 1.7627,                 2.1425,                 2.3956,                 1.6545,                0.48464,                0.42852,                0.42964,                0.16589,                 2.1682,                 1.7995,                 1.8632,                  2.164,                 2.1257,                 1.7485,               0.001056,               0.001056,               0.001056
                      8,                 2.0755,                 1.9156,                 1.7694,                  2.108,                 2.3053,                 1.6569,                0.51929,                0.47568,                 0.4949,                0.19747,                   2.07,                 1.7875,                 1.7951,                 2.1107,                  1.984,                 1.7009,               0.001045,               0.001045,               0.001045
                      9,                 2.0114,                 1.7619,                 1.7187,                 2.0708,                 2.1232,                 1.6328,                0.51157,                0.50023,                0.49993,                0.19875,                   2.06,                 1.7336,                  1.797,                 2.1189,                 1.9905,                  1.709,               0.001034,               0.001034,               0.001034
                     10,                 1.9763,                 1.7167,                 1.6928,                 2.0349,                 2.0426,                 1.6093,                0.59298,                0.53465,                0.55419,                0.22269,                  2.042,                  1.598,                 1.7519,                 2.1404,                 1.7719,                 1.7179,               0.001023,               0.001023,               0.001023
                     11,                 1.9627,                 1.6336,                 1.6803,                 2.0486,                 1.9577,                 1.6035,                0.57104,                0.52071,                0.54013,                0.20292,                 2.0763,                 1.7043,                 1.7794,                 2.1442,                 1.9038,                 1.7101,               0.001012,               0.001012,               0.001012
                     12,                 1.9335,                 1.5783,                 1.6498,                 2.0091,                 1.8849,                 1.5761,                 0.6082,                0.55623,                0.58205,                0.24247,                   1.96,                 1.5044,                 1.6916,                 2.0032,                 1.7523,                 1.6186,               0.001001,               0.001001,               0.001001
                     13,                 1.8769,                 1.5159,                 1.6264,                 1.9628,                 1.8354,                 1.5655,                0.67227,                0.55316,                0.63299,                 0.2759,                 1.9183,                 1.4022,                 1.6728,                  1.976,                 1.5958,                 1.6142,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.8618,                 1.4919,                 1.6045,                 1.9402,                 1.7865,                 1.5378,                0.64975,                0.59165,                0.62613,                0.27149,                 1.9474,                 1.3959,                 1.6678,                 2.0094,                 1.5636,                 1.6201,             0.00097901,             0.00097901,             0.00097901
                     15,                  1.838,                 1.4677,                 1.5903,                 1.9385,                 1.7526,                 1.5335,                 0.6544,                0.61201,                0.63928,                0.27517,                 1.9418,                 1.3928,                 1.6711,                 2.0251,                 1.5525,                 1.6154,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.8182,                 1.4091,                 1.5714,                 1.9173,                 1.6702,                 1.5215,                0.72202,                 0.6056,                0.69048,                0.29812,                 1.9365,                 1.3248,                 1.6742,                  2.012,                 1.5032,                 1.6199,             0.00095702,             0.00095702,             0.00095702
                     17,                  1.796,                 1.3528,                 1.5556,                 1.9045,                 1.6089,                 1.5087,                0.70476,                0.61953,                0.68446,                 0.2935,                 1.9259,                 1.3116,                 1.6581,                 1.9812,                 1.4535,                 1.6013,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.7609,                 1.3008,                  1.537,                 1.8609,                 1.5499,                 1.4998,                0.69117,                0.66859,                0.71071,                 0.3211,                  1.852,                 1.2107,                 1.6047,                 1.8993,                 1.3174,                 1.5564,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.7609,                 1.2856,                 1.5493,                 1.8614,                 1.5222,                  1.503,                0.72388,                0.67643,                0.72988,                0.33568,                 1.8194,                  1.197,                 1.5781,                 1.8812,                 1.3342,                 1.5291,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.7417,                 1.2519,                 1.5135,                 1.8579,                  1.483,                 1.4807,                0.75721,                0.66092,                0.74938,                0.34416,                 1.8918,                 1.2224,                 1.6513,                 1.9667,                 1.3042,                 1.6081,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.7366,                 1.2447,                 1.5148,                 1.8456,                  1.485,                 1.4758,                0.77593,                0.64363,                0.74262,                0.33596,                  1.834,                 1.2335,                 1.6005,                 1.9127,                 1.3795,                 1.5637,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.7257,                 1.2262,                 1.4958,                 1.8442,                 1.4378,                 1.4705,                0.75118,                0.67561,                0.76073,                 0.3512,                 1.8412,                 1.1865,                 1.6031,                 1.9106,                 1.2985,                 1.5631,             0.00089102,             0.00089102,             0.00089102
                     23,                    1.7,                 1.2186,                 1.4863,                 1.8098,                 1.4387,                 1.4541,                0.74924,                0.68362,                0.74753,                0.34033,                  1.824,                 1.2046,                 1.5817,                 1.8948,                  1.334,                 1.5349,             0.00088002,             0.00088002,             0.00088002
                     24,                  1.665,                 1.1487,                 1.4679,                 1.7767,                 1.3416,                 1.4412,                0.78212,                0.71481,                0.78593,                0.35933,                  1.818,                 1.0899,                 1.5923,                 1.9298,                 1.1791,                 1.5734,             0.00086902,             0.00086902,             0.00086902
