                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3636,                 2.9491,                 1.7811,                 2.3006,                  4.365,                 1.5401,                0.52312,                0.03951,                0.02316,                0.00714,                 3.0629,                 4.6982,                 2.7692,                 3.4275,                 6.8315,                 2.6586,             0.00036717,             0.00036717,             0.00036717
                      2,                  2.352,                  2.307,                 1.7643,                 2.3969,                 2.7567,                 1.5707,                0.33468,                0.19154,                0.10944,                0.02905,                 2.5141,                  6.727,                 2.1552,                 2.5063,                   12.9,                 1.9807,              0.0007302,              0.0007302,              0.0007302
                      3,                 2.3372,                 2.2289,                 1.7915,                 2.4312,                 2.7147,                 1.6139,                0.20027,                0.32806,                0.19559,                0.05858,                 2.4249,                  3.667,                 2.1249,                 2.5302,                 4.4932,                 1.9927,              0.0010859,              0.0010859,              0.0010859
                      4,                 2.2883,                 2.0575,                 1.7418,                  2.392,                 2.5368,                 1.6054,                0.28171,                0.33561,                0.20408,                0.06477,                 2.4619,                 4.0618,                 2.1558,                 2.4565,                  4.585,                 2.0203,               0.001078,               0.001078,               0.001078
                      5,                 2.2718,                   2.02,                 1.7319,                 2.3913,                 2.4271,                 1.5854,                0.34382,                0.33429,                0.26163,                0.08712,                 2.3566,                  2.695,                 2.0299,                  2.353,                 3.3456,                 1.9363,               0.001078,               0.001078,               0.001078
                      6,                 2.2212,                 1.9494,                 1.7097,                 2.3031,                 2.3555,                 1.5607,                0.30171,                0.34155,                0.23265,                0.07501,                  2.404,                 2.2492,                 1.9546,                 2.3755,                 3.0368,                 1.8195,               0.001067,               0.001067,               0.001067
                      7,                 2.1222,                 1.7345,                  1.652,                 2.2603,                 2.1401,                 1.5312,                0.37004,                0.38686,                0.32544,                0.12033,                 2.2607,                 2.1125,                 1.9031,                 2.2976,                 2.4875,                 1.7559,               0.001056,               0.001056,               0.001056
                      8,                 2.0661,                 1.6485,                 1.6277,                 2.2367,                 2.0093,                 1.5285,                0.50744,                0.43472,                0.42147,                0.15134,                 2.1404,                 1.8758,                 1.7848,                 2.2618,                 2.4091,                 1.7054,               0.001045,               0.001045,               0.001045
                      9,                 2.0555,                 1.5731,                 1.5742,                 2.2129,                 1.8992,                  1.468,                0.52532,                  0.452,                0.44459,                0.17178,                  2.078,                 1.7873,                 1.7764,                 2.2051,                 2.3629,                 1.7077,               0.001034,               0.001034,               0.001034
                     10,                 2.0302,                 1.5396,                 1.5717,                 2.2013,                 1.8201,                 1.4697,                0.52497,                0.43182,                0.40154,                0.13858,                 2.2567,                 1.9351,                  1.822,                  2.363,                 2.2868,                 1.7267,               0.001023,               0.001023,               0.001023
                     11,                 1.9646,                 1.5004,                 1.5657,                 2.1453,                 1.8028,                 1.4783,                0.59644,                0.50915,                0.50874,                0.20243,                 2.0845,                 1.6616,                  1.765,                 2.1724,                 1.9734,                 1.6509,               0.001012,               0.001012,               0.001012
                     12,                 1.9378,                 1.4881,                 1.5062,                 2.1128,                 1.7687,                 1.4137,                0.66484,                0.56606,                 0.5953,                0.24526,                 2.0117,                 1.4397,                 1.7251,                 2.1384,                 1.7053,                 1.6496,               0.001001,               0.001001,               0.001001
                     13,                 1.9069,                 1.3461,                 1.5047,                 2.0839,                 1.5616,                 1.4148,                0.60055,                0.52688,                0.56174,                0.25367,                 2.0248,                 1.3697,                 1.6917,                 2.1476,                 1.5732,                 1.6153,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.9416,                 1.3578,                 1.4889,                 2.1309,                 1.5926,                 1.4083,                0.67418,                0.60031,                0.62116,                0.28531,                 1.9746,                 1.3829,                 1.6836,                 2.0626,                 1.5893,                 1.5914,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.8844,                 1.2996,                 1.4989,                 2.0788,                 1.5251,                 1.4186,                0.71512,                0.55656,                0.63875,                0.28685,                 2.0119,                 1.4843,                 1.6933,                 2.0701,                 1.7718,                 1.6278,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.8585,                 1.2789,                 1.4498,                 2.0683,                 1.4871,                 1.3667,                0.65459,                0.57598,                 0.5781,                0.24917,                 2.0208,                 1.3817,                 1.7326,                 2.1802,                 1.7524,                  1.666,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.8291,                 1.2036,                 1.4471,                 2.0348,                 1.4085,                 1.3777,                 0.7013,                0.53241,                0.60189,                0.26666,                 2.0728,                 1.3785,                 1.7234,                 2.1724,                 1.6095,                 1.6439,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.8121,                 1.1685,                 1.4248,                 2.0246,                 1.3639,                  1.354,                0.67615,                0.60262,                0.67138,                0.29483,                 1.9606,                 1.1921,                 1.6919,                 2.0598,                  1.386,                 1.5906,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.7826,                 1.1624,                  1.408,                 1.9947,                 1.3787,                 1.3463,                0.73221,                0.64269,                0.69578,                0.32468,                 1.9439,                 1.1954,                 1.6566,                 2.0664,                 1.3505,                 1.5727,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.7901,                 1.1175,                 1.4278,                 1.9838,                 1.3068,                 1.3631,                0.72505,                0.61605,                0.67992,                0.31988,                 1.9267,                 1.1574,                 1.6476,                 2.0502,                 1.2942,                 1.5727,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.7457,                 1.0733,                  1.399,                 1.9634,                 1.2353,                 1.3448,                0.73468,                0.65158,                0.70228,                0.31473,                 1.9412,                  1.159,                 1.6805,                 2.0572,                 1.3713,                 1.5949,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.7735,                 1.1402,                 1.4149,                 1.9535,                 1.2733,                 1.3349,                0.66379,                0.63582,                0.68422,                0.31431,                 1.9768,                   1.22,                 1.7055,                 2.0837,                 1.3589,                 1.6134,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.7074,                 1.0426,                 1.3542,                 1.8979,                 1.2333,                 1.2847,                0.69321,                0.69956,                0.70009,                 0.3182,                 1.9488,                 1.1581,                 1.6338,                 2.0205,                 1.3402,                 1.5558,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.7003,                 1.0466,                 1.3588,                 1.8809,                  1.222,                 1.2966,                0.69973,                0.66247,                0.70111,                0.32905,                 1.9395,                 1.0939,                 1.6568,                   2.04,                 1.2699,                 1.5542,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.6692,                 1.0218,                 1.3325,                  1.878,                 1.1778,                 1.2787,                0.77411,                0.66627,                0.72345,                0.32707,                 1.9504,                 1.1829,                 1.6832,                 2.0659,                 1.3693,                 1.6025,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.6539,                0.97872,                 1.3476,                  1.848,                 1.1155,                 1.2857,                0.80407,                0.71782,                0.75852,                0.34617,                 1.8841,                  1.071,                 1.6316,                 2.0079,                 1.1778,                 1.5729,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.6398,                0.98885,                 1.3142,                  1.878,                 1.1016,                  1.267,                0.74558,                0.72681,                0.77129,                 0.3579,                 1.8357,                 1.0298,                   1.61,                 1.9757,                 1.1206,                  1.543,             0.00083603,             0.00083603,             0.00083603
