                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4256,                 3.2449,                 1.7718,                0.33105,                0.06779,                0.06596,                0.01673,                  2.832,                 5.8917,                 2.2624,             0.00036717,             0.00036717,             0.00036717
                      2,                 2.3716,                 2.3615,                 1.7815,                0.25182,                0.25697,                 0.1868,                0.05832,                 2.4227,                 3.6744,                 2.0246,              0.0007302,              0.0007302,              0.0007302
                      3,                 2.3483,                 2.2388,                 1.7796,                0.56438,                0.14744,                0.16388,                0.05406,                  2.513,                 4.7752,                 2.0114,              0.0010859,              0.0010859,              0.0010859
                      4,                  2.305,                 2.1346,                 1.7371,                0.54132,                0.16446,                0.15087,                0.04615,                 2.4468,                  6.823,                 2.0034,               0.001078,               0.001078,               0.001078
                      5,                 2.2405,                 2.0231,                 1.6992,                0.37065,                0.28753,                0.26066,                0.09228,                 2.3422,                 2.4331,                 1.9063,               0.001067,               0.001067,               0.001067
                      6,                 2.1476,                 1.8531,                  1.657,                0.50915,                 0.4398,                0.41862,                0.15738,                 2.0783,                 2.3499,                 1.7415,               0.001056,               0.001056,               0.001056
                      7,                  2.112,                 1.7399,                 1.6264,                0.30801,                0.38097,                0.30104,                0.11525,                 2.2879,                 2.1608,                 1.8142,               0.001045,               0.001045,               0.001045
                      8,                 2.0972,                 1.6661,                 1.6012,                0.63201,                0.44464,                0.49062,                0.18597,                 2.0567,                 1.7721,                 1.6974,               0.001034,               0.001034,               0.001034
                      9,                 2.0165,                 1.5916,                 1.5573,                0.45695,                0.50716,                0.47524,                0.19748,                 1.9969,                 1.7607,                  1.666,               0.001023,               0.001023,               0.001023
                     10,                 1.9764,                 1.5279,                 1.5048,                0.54023,                0.48033,                0.48643,                0.19951,                 2.0576,                 1.7121,                 1.6823,               0.001012,               0.001012,               0.001012
